Change Date,Old,New,New Company Name
2021-11-01,TDAC,LTRY,Lotterycom Inc
2021-11-02,BCEI,CIVI,Civitas Resources Inc
2021-11-04,RTPY,AUR,Aurora Innovation Inc
2021-11-04,SWBK,BRDS,Bird Global Inc
2021-11-04,EVTCY,EVO,Evotec Se
2021-11-04,GIA.U,GIA,Gigcapital5 Inc
2021-11-04,MKTY,SLNH,Soluna Holdings Inc
2021-11-05,NETE,MULN,Mullen Automotive Inc
2021-11-08,MOTN,DCGO,Docgo Inc
2021-11-08,KVSB,KIND,Nextdoor Holdings Inc
2021-11-08,EYEG,KPRX,Kiora Pharmaceuticals Inc
2021-11-08,EDNCU,SATX,Satixfy Communications Ltd.
2021-11-09,HTZZ,HTZ,Hertz Global Holdings Inc
2021-11-10,SRNA,CEAD,Cea Industries Inc
2021-11-11,NGAB,EMBK,Embark Technology Inc
2021-11-15,CSU,SNDA,Sonida Senior Living Inc
2021-11-15,DFPH,TOI,Oncology Institute Inc
2021-11-16,SGOC,TROO,Troops Inc
2021-11-18,ADOM,EVTV,Envirotech Vehicles Inc
2021-11-19,VOSO,WEJO,Wejo Group Ltd.
2021-11-22,LIII,LOCL,Local Bounti Corporation
2021-11-29,LCW.U,LCW,Learn Cw Investment Corp
2021-11-30,HRTH,HHS,Harte Hanks Inc
2021-12-01,BRKS,AZTA,Azenta Inc
2021-12-01,FHBI,BAFN,Bayfirst Financial Corp
2021-12-01,DDMX,CDRO,Codere Online Luxembourg SA
2021-12-01,IACB,CTV,Innovid Corp
2021-12-02,AGC,GRAB,Grab Holdings Ltd.
2021-12-03,ADF,HGTY,Hagerty Inc
2021-12-06,ENFA,BZFD,Buzzfeed Inc
2021-12-06,THMA,PEAR,Pear Therapeutics Inc
2021-12-06,FORE,PIII,P3 Health Partners Inc
2021-12-06,FOUNU,RBT,Rubicon Technologies Inc
2021-12-07,MSRT,GWAV,Greenwave Technology Solutions Inc
2021-12-07,TPGS,VCSA,Vacasa Inc
2021-12-08,GIG,BBAI,Bigbearai Holdings Inc
2021-12-08,DMYQ,PL,Planet Labs Pbc
2021-12-09,DGNS,CVT,Cvent Holding Corp
2021-12-09,DCRC,SLDP,Solid Power Inc
2021-12-09,SVOK,BOXD,Boxed Inc
2021-12-10,CBAH,AMPS,Altus Power Inc
2021-12-10,AXH.U,AXH,Industrial Human Capital Inc
2021-12-10,CLI,VRE,Veris Residential Inc
2021-12-13,DPW,NILE,Bitnile Holdings Inc
2021-12-13,BHTG,RENO,Renovare Environmental Inc
2021-12-14,IKNX,WULF,Terawulf Inc
2021-12-15,YAC,SSU,Signa Sports United Nv
2021-12-16,IAIC,WAVD,Wavedancer Inc
2021-12-16,HX,AHG,Akso Health Group
2021-12-16,ISOS,BOWL,Bowlero Corp
2021-12-16,BSN,EVTL,Vertical Aerospace Ltd.
2021-12-20,MOSY,PRSO,Peraso Inc
2021-12-20,IIAC,ZGN,Ermenegildo Zegna Nv
2021-12-20,CMLT,EQRX,Eqrx Inc
2021-12-23,EUSG,ADSE,Ads-tec Energy Public Ltd Co.
2021-12-23,MACQ,ADTH,Adtheorent Holding Company Inc
2021-12-23,JUN.U,JUN,Juniper Ii Corp
2021-12-27,ATMR,FATH,Fathom Digital Manufacturing Corp
2021-12-27,HCAQ,HYPR,Hyperfine Inc
2021-12-27,FSII,PRDS,Pardes Biosciences Inc
2021-12-28,DBDR,CMPO,Composecure Inc
2021-12-29,INS,CCRD,Corecard Corp
